task,model_type,model_name,noise_type,evaluation_scope,id,true_label,pred_label,severity,changed_token_ratio,subword_delta,subword_inflation_ratio,original_text,noisy_text,text
topic,baseline,tfidf_char_svm,no_accent,full,test_242,training_program,lecturer,high,0.7857142857142857,32.0,1.326530612244898,"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc ."
topic,baseline,tfidf_char_svm,no_accent,changed_only,test_242,training_program,lecturer,high,0.7857142857142857,32.0,1.326530612244898,"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc ."
topic,baseline,tfidf_word_svm,no_accent,full,test_242,training_program,lecturer,high,0.7857142857142857,32.0,1.326530612244898,"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc ."
topic,baseline,tfidf_word_svm,no_accent,changed_only,test_242,training_program,lecturer,high,0.7857142857142857,32.0,1.326530612244898,"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc ."
sentiment,phobert,phobert_base,no_accent,full,test_242,negative,neutral,high,0.7857142857142857,32.0,1.326530612244898,"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc ."
sentiment,phobert,phobert_base,no_accent,changed_only,test_242,negative,neutral,high,0.7857142857142857,32.0,1.326530612244898,"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc ."
topic,phobert,phobert_base,no_accent,full,test_242,training_program,lecturer,high,0.7857142857142857,32.0,1.326530612244898,"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc ."
topic,phobert,phobert_base,no_accent,changed_only,test_242,training_program,lecturer,high,0.7857142857142857,32.0,1.326530612244898,"thực hành hình thức 2 tỏ ra kém hiệu quả , chủ yếu cho cái đồ án môn học rồi sinh viên tự mày mò mà làm , thời gian để sinh viên và giáo viên tương tác không có vì một hai buổi gặp sinh viên không thể giúp sinh viên được nhiều , vì đồ án chỉ tập trung vào một chủ đề nào đó trong môn học nên tổng quan lại là sinh viên chỉ nắm được kiến thức phần được làm , không nắm được các nội dung khác trong nội dung học .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc .","thuc hanh hinh thuc 2 to ra kem hieu qua , chu yeu cho cai do an mon hoc roi sinh vien tu may mo ma lam , thoi gian de sinh vien va giao vien tuong tac khong co vi mot hai buoi gap sinh vien khong the giup sinh vien duoc nhieu , vi do an chi tap trung vao mot chu de nao do trong mon hoc nen tong quan lai la sinh vien chi nam duoc kien thuc phan duoc lam , khong nam duoc cac noi dung khac trong noi dung hoc ."
sentiment,baseline,tfidf_char_svm,no_accent,full,test_149,positive,negative,high,0.782608695652174,21.0,1.4565217391304348,"cách mà thầy hướng cho sinh viên tiếp cận kiến thức , tính chuyên nghiệp trong việc đưa ra những ví dụ thực tiễn phản ánh tốt kiến thức lý thuyết , hướng dẫn cho sinh viên cách tiếp cận với tài liệu tiếng anh .","cach ma thay huong cho sinh vien tiep can kien thuc , tinh chuyen nghiep trong viec dua ra nhung vi du thuc tien phan anh tot kien thuc ly thuyet , huong dan cho sinh vien cach tiep can voi tai lieu tieng anh .","cach ma thay huong cho sinh vien tiep can kien thuc , tinh chuyen nghiep trong viec dua ra nhung vi du thuc tien phan anh tot kien thuc ly thuyet , huong dan cho sinh vien cach tiep can voi tai lieu tieng anh ."
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,test_149,positive,negative,high,0.782608695652174,21.0,1.4565217391304348,"cách mà thầy hướng cho sinh viên tiếp cận kiến thức , tính chuyên nghiệp trong việc đưa ra những ví dụ thực tiễn phản ánh tốt kiến thức lý thuyết , hướng dẫn cho sinh viên cách tiếp cận với tài liệu tiếng anh .","cach ma thay huong cho sinh vien tiep can kien thuc , tinh chuyen nghiep trong viec dua ra nhung vi du thuc tien phan anh tot kien thuc ly thuyet , huong dan cho sinh vien cach tiep can voi tai lieu tieng anh .","cach ma thay huong cho sinh vien tiep can kien thuc , tinh chuyen nghiep trong viec dua ra nhung vi du thuc tien phan anh tot kien thuc ly thuyet , huong dan cho sinh vien cach tiep can voi tai lieu tieng anh ."
