task,model_type,model_name,model_path,noise_type,evaluation_scope,num_eval_samples,accuracy,macro_f1,weighted_f1
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,clean,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,domain_abbreviation,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,domain_abbreviation,changed_only,1530,0.6928104575163399,0.20463320463320464,0.5670880964998612
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,elongation,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,elongation,changed_only,3164,0.7237673830594185,0.20993766043270995,0.6077841243879972
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,mixed_noise,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,mixed_noise,changed_only,3135,0.7247208931419458,0.21009802108378028,0.6090497019487704
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,no_accent,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,no_accent,changed_only,3162,0.7235926628716003,0.20990825688073395,0.6075522982202648
topic,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib,teencode_colloquial,full,3166,0.7233101705622236,0.20986070381231672,0.6071775258751805
