task,model_type,model_name,evaluation_scope,true_label,pred_label,num_errors
sentiment,phobert,phobert_base,changed_only,negative,neutral,794
sentiment,phobert,phobert_base,changed_only,positive,neutral,664
sentiment,phobert,phobert_base,changed_only,negative,positive,400
sentiment,phobert,phobert_base,changed_only,positive,negative,125
sentiment,phobert,phobert_base,changed_only,neutral,positive,31
sentiment,phobert,phobert_base,changed_only,neutral,negative,14
sentiment,phobert,phobert_base,full,negative,neutral,795
sentiment,phobert,phobert_base,full,positive,neutral,665
sentiment,phobert,phobert_base,full,negative,positive,400
sentiment,phobert,phobert_base,full,positive,negative,125
sentiment,phobert,phobert_base,full,neutral,positive,31
sentiment,phobert,phobert_base,full,neutral,negative,14
sentiment,baseline,tfidf_char_svm,changed_only,positive,neutral,471
sentiment,baseline,tfidf_char_svm,changed_only,negative,neutral,452
sentiment,baseline,tfidf_char_svm,changed_only,positive,negative,394
sentiment,baseline,tfidf_char_svm,changed_only,negative,positive,306
sentiment,baseline,tfidf_char_svm,changed_only,neutral,negative,47
sentiment,baseline,tfidf_char_svm,changed_only,neutral,positive,32
sentiment,baseline,tfidf_char_svm,full,positive,neutral,471
sentiment,baseline,tfidf_char_svm,full,negative,neutral,453
sentiment,baseline,tfidf_char_svm,full,positive,negative,395
sentiment,baseline,tfidf_char_svm,full,negative,positive,306
sentiment,baseline,tfidf_char_svm,full,neutral,negative,47
sentiment,baseline,tfidf_char_svm,full,neutral,positive,32
sentiment,baseline,tfidf_word_svm,changed_only,positive,negative,610
sentiment,baseline,tfidf_word_svm,changed_only,negative,neutral,493
sentiment,baseline,tfidf_word_svm,changed_only,positive,neutral,481
sentiment,baseline,tfidf_word_svm,changed_only,negative,positive,215
sentiment,baseline,tfidf_word_svm,changed_only,neutral,negative,53
sentiment,baseline,tfidf_word_svm,changed_only,neutral,positive,24
sentiment,baseline,tfidf_word_svm,full,positive,negative,610
sentiment,baseline,tfidf_word_svm,full,negative,neutral,494
sentiment,baseline,tfidf_word_svm,full,positive,neutral,482
sentiment,baseline,tfidf_word_svm,full,negative,positive,215
sentiment,baseline,tfidf_word_svm,full,neutral,negative,53
sentiment,baseline,tfidf_word_svm,full,neutral,positive,24
topic,phobert,phobert_base,changed_only,lecturer,others,714
topic,phobert,phobert_base,changed_only,training_program,others,284
topic,phobert,phobert_base,changed_only,training_program,lecturer,256
topic,phobert,phobert_base,changed_only,lecturer,training_program,205
topic,phobert,phobert_base,changed_only,facility,lecturer,80
topic,phobert,phobert_base,changed_only,others,lecturer,55
topic,phobert,phobert_base,changed_only,facility,others,49
topic,phobert,phobert_base,changed_only,lecturer,facility,22
topic,phobert,phobert_base,changed_only,facility,training_program,2
topic,phobert,phobert_base,changed_only,others,training_program,2
topic,phobert,phobert_base,changed_only,training_program,facility,2
topic,phobert,phobert_base,full,lecturer,others,715
topic,phobert,phobert_base,full,training_program,others,284
topic,phobert,phobert_base,full,training_program,lecturer,256
topic,phobert,phobert_base,full,lecturer,training_program,205
topic,phobert,phobert_base,full,facility,lecturer,80
topic,phobert,phobert_base,full,others,lecturer,55
topic,phobert,phobert_base,full,facility,others,49
topic,phobert,phobert_base,full,lecturer,facility,22
topic,phobert,phobert_base,full,facility,training_program,2
topic,phobert,phobert_base,full,others,training_program,2
topic,phobert,phobert_base,full,training_program,facility,2
topic,baseline,tfidf_char_svm,changed_only,lecturer,others,832
topic,baseline,tfidf_char_svm,changed_only,lecturer,training_program,345
topic,baseline,tfidf_char_svm,changed_only,training_program,lecturer,218
topic,baseline,tfidf_char_svm,changed_only,training_program,others,196
topic,baseline,tfidf_char_svm,changed_only,facility,lecturer,64
topic,baseline,tfidf_char_svm,changed_only,facility,others,42
topic,baseline,tfidf_char_svm,changed_only,others,lecturer,38
topic,baseline,tfidf_char_svm,changed_only,others,training_program,36
topic,baseline,tfidf_char_svm,changed_only,lecturer,facility,31
topic,baseline,tfidf_char_svm,changed_only,training_program,facility,21
topic,baseline,tfidf_char_svm,changed_only,facility,training_program,18
topic,baseline,tfidf_char_svm,changed_only,others,facility,2
topic,baseline,tfidf_char_svm,full,lecturer,others,834
topic,baseline,tfidf_char_svm,full,lecturer,training_program,345
topic,baseline,tfidf_char_svm,full,training_program,lecturer,218
topic,baseline,tfidf_char_svm,full,training_program,others,196
topic,baseline,tfidf_char_svm,full,facility,lecturer,64
topic,baseline,tfidf_char_svm,full,facility,others,42
topic,baseline,tfidf_char_svm,full,others,lecturer,38
topic,baseline,tfidf_char_svm,full,others,training_program,36
topic,baseline,tfidf_char_svm,full,lecturer,facility,31
topic,baseline,tfidf_char_svm,full,training_program,facility,21
topic,baseline,tfidf_char_svm,full,facility,training_program,18
topic,baseline,tfidf_char_svm,full,others,facility,2
topic,baseline,tfidf_word_svm,changed_only,lecturer,others,1256
topic,baseline,tfidf_word_svm,changed_only,training_program,others,257
topic,baseline,tfidf_word_svm,changed_only,lecturer,training_program,253
topic,baseline,tfidf_word_svm,changed_only,training_program,lecturer,157
topic,baseline,tfidf_word_svm,changed_only,facility,others,71
topic,baseline,tfidf_word_svm,changed_only,facility,lecturer,43
topic,baseline,tfidf_word_svm,changed_only,others,training_program,28
topic,baseline,tfidf_word_svm,changed_only,others,lecturer,22
topic,baseline,tfidf_word_svm,changed_only,facility,training_program,17
topic,baseline,tfidf_word_svm,changed_only,lecturer,facility,12
topic,baseline,tfidf_word_svm,changed_only,training_program,facility,3
topic,baseline,tfidf_word_svm,changed_only,others,facility,2
topic,baseline,tfidf_word_svm,full,lecturer,others,1257
topic,baseline,tfidf_word_svm,full,training_program,others,257
topic,baseline,tfidf_word_svm,full,lecturer,training_program,253
topic,baseline,tfidf_word_svm,full,training_program,lecturer,157
topic,baseline,tfidf_word_svm,full,facility,others,71
topic,baseline,tfidf_word_svm,full,facility,lecturer,43
topic,baseline,tfidf_word_svm,full,others,training_program,28
topic,baseline,tfidf_word_svm,full,others,lecturer,22
topic,baseline,tfidf_word_svm,full,facility,training_program,17
topic,baseline,tfidf_word_svm,full,lecturer,facility,12
topic,baseline,tfidf_word_svm,full,training_program,facility,3
topic,baseline,tfidf_word_svm,full,others,facility,2
