task,model_type,model_name,noise_type,evaluation_scope,noisy_macro_f1,normalized_macro_f1,macro_f1_improvement,noisy_accuracy,normalized_accuracy,accuracy_improvement,num_eval_samples
topic,baseline,majority_class,domain_abbreviation,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,domain_abbreviation,changed_only,0.20463320463320464,0.20463320463320464,0.0,0.6928104575163399,0.6928104575163399,0.0,1530
topic,baseline,majority_class,elongation,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,elongation,changed_only,0.20993766043270995,0.20993766043270995,0.0,0.7237673830594185,0.7237673830594185,0.0,3164
topic,baseline,majority_class,mixed_noise,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,mixed_noise,changed_only,0.21009802108378028,0.21009802108378028,0.0,0.7247208931419458,0.7247208931419458,0.0,3135
topic,baseline,majority_class,no_accent,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,no_accent,changed_only,0.20990825688073395,0.20990825688073395,0.0,0.7235926628716003,0.7235926628716003,0.0,3162
topic,baseline,majority_class,teencode_colloquial,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,teencode_colloquial,changed_only,0.21012039127163282,0.21012039127163282,0.0,0.7248539909149903,0.7248539909149903,0.0,1541
topic,baseline,majority_class,typo,full,0.20986070381231672,0.20986070381231672,0.0,0.7233101705622236,0.7233101705622236,0.0,3166
topic,baseline,majority_class,typo,changed_only,0.21087283671933785,0.21087283671933785,0.0,0.7293428757319453,0.7293428757319453,0.0,3074
topic,baseline,tfidf_char_svm,domain_abbreviation,full,0.6725484025617406,0.7300993325250893,0.05755092996334865,0.7902716361339229,0.8329121920404295,0.042640555906506616,3166
topic,baseline,tfidf_char_svm,domain_abbreviation,changed_only,0.6050023732100819,0.6907580561913049,0.08575568298122305,0.7640522875816993,0.8522875816993464,0.08823529411764708,1530
topic,baseline,tfidf_char_svm,elongation,full,0.7263005163541868,0.7298992611100819,0.003598744755895056,0.8262792166771952,0.8325963360707518,0.006317119393556614,3166
