task,model_type,model_name,model_path,noise_type,evaluation_scope,num_eval_samples,accuracy,macro_f1,weighted_f1
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,clean,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,domain_abbreviation,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,domain_abbreviation,changed_only,1530,0.46601307189542485,0.21191856145043841,0.2962704594395345
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,elongation,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,elongation,changed_only,3164,0.5022123893805309,0.2228767795778105,0.3357944400276304
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,mixed_noise,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,mixed_noise,changed_only,3135,0.5023923444976076,0.22292993630573246,0.33599488007801787
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,no_accent,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,no_accent,changed_only,3162,0.502213788741303,0.22287719298245615,0.33579599853523756
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,teencode_colloquial,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,teencode_colloquial,changed_only,1541,0.4587929915639195,0.20966785290628706,0.2885824244089778
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,typo,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,typo,changed_only,3074,0.5019518542615484,0.2227997978485308,0.3355043149775046
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,clean,full,3166,0.873973468098547,0.7353507893242824,0.8755152646032306
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,domain_abbreviation,full,3166,0.8749210360075805,0.7397138643941713,0.8777048702897273
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,domain_abbreviation,changed_only,1530,0.8915032679738563,0.7270855869271702,0.8939359937498151
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,elongation,full,3166,0.8774478837650032,0.7432055881774954,0.8797243232411409
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,elongation,changed_only,3164,0.877370417193426,0.7421125734448296,0.8796619519631216
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,mixed_noise,full,3166,0.8376500315855969,0.7076236771647809,0.8457332161366603
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,mixed_noise,changed_only,3135,0.8382775119617225,0.706695962232737,0.8464938434618172
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,no_accent,full,3166,0.46178142766898295,0.4050247166001313,0.5134117002271319
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,no_accent,changed_only,3162,0.46173308032890575,0.40467787719089143,0.513551547366142
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,teencode_colloquial,full,3166,0.8404927353126974,0.7034531007426046,0.8450108116563646
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,teencode_colloquial,changed_only,1541,0.8040233614536015,0.635249206072195,0.8136095686104123
sentiment,baseline,tfidf_char_svm,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib,typo,full,3166,0.848389134554643,0.706523334207615,0.8530260373228425
