task,model_type,model_name,model_path,noise_type,evaluation_scope,num_eval_samples,accuracy,macro_f1,weighted_f1
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,clean,full,3166,0.932406822488945,0.8294712459287469,0.9312054918434818
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,no_accent,full,3166,0.35881238155401135,0.3165296133503705,0.40030322507325045
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,no_accent,changed_only,3162,0.3586337760910816,0.316264838910467,0.4002947790582954
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,domain_abbreviation,full,3166,0.9279848389134555,0.8257466563256378,0.9276993719716322
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,domain_abbreviation,changed_only,1530,0.9326797385620915,0.8228264987771748,0.9338876741528324
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,teencode_colloquial,full,3166,0.9181933038534428,0.8057543163992053,0.9184444551968902
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,teencode_colloquial,changed_only,1541,0.9110966904607398,0.7545152578303004,0.913167588162485
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,typo,full,3166,0.9001895135818067,0.784816318732175,0.9014906407241176
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,typo,changed_only,3074,0.9007807417046194,0.7775114827868421,0.9024075434280021
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,elongation,full,3166,0.9181933038534428,0.7994698492947471,0.9180653331141868
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,elongation,changed_only,3164,0.918141592920354,0.7984842802574269,0.9180125897701464
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,mixed_noise,full,3166,0.8916614024005054,0.7708418744119867,0.896105609315682
sentiment,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/sentiment/best_model,mixed_noise,changed_only,3135,0.8918660287081339,0.7685316591149071,0.8964996800556702
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,clean,full,3166,0.8992419456727733,0.8051778901407499,0.8968670310554385
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,no_accent,full,3166,0.4718888186986734,0.2629952574533478,0.5122026525807364
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,no_accent,changed_only,3162,0.4715370018975332,0.26237823914513225,0.5122074845554175
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,domain_abbreviation,full,3166,0.8515476942514214,0.7417032725450039,0.8516675994957675
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,domain_abbreviation,changed_only,1530,0.8117647058823529,0.6340537421677448,0.8176087241791479
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,teencode_colloquial,full,3166,0.8963992419456728,0.7941062001176223,0.8933406491465153
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,teencode_colloquial,changed_only,1541,0.8968202465931213,0.7917618411340472,0.8948211270558949
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,typo,full,3166,0.868603916614024,0.7644556502410857,0.8682068620764969
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,typo,changed_only,3074,0.8702016916070267,0.7548610784161752,0.8703120765196293
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,elongation,full,3166,0.8862918509159823,0.7798332763191875,0.8845071976530376
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,elongation,changed_only,3164,0.8862199747155499,0.7780227000564668,0.8843964253274899
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,mixed_noise,full,3166,0.8243840808591283,0.709939560590719,0.8275360789720344
topic,phobert,phobert_base,/kaggle/working/stage3_phobert_outputs_extracted/models/phobert/topic/best_model,mixed_noise,changed_only,3135,0.8248803827751197,0.7076730359910779,0.8283818857047748
