task,model_type,model_name,noise_type,evaluation_scope,id,true_label,pred_label,severity,changed_token_ratio,subword_delta,subword_inflation_ratio,original_text,noisy_text,text
sentiment,baseline,tfidf_char_svm,clean,full,test_27,neutral,positive,clean,0.0,,,cách mà cô tiếp cận với sinh viên .,cách mà cô tiếp cận với sinh viên .,cách mà cô tiếp cận với sinh viên .
sentiment,baseline,tfidf_char_svm,clean,full,test_35,neutral,positive,clean,0.0,,,môn học này giúp chúng em hiểu ra những vấn đề cơ bản .,môn học này giúp chúng em hiểu ra những vấn đề cơ bản .,môn học này giúp chúng em hiểu ra những vấn đề cơ bản .
sentiment,baseline,tfidf_char_svm,clean,full,test_53,neutral,negative,clean,0.0,,,như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .,như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .,như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .
sentiment,baseline,tfidf_char_svm,clean,full,test_121,neutral,positive,clean,0.0,,,"ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết .","ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết .","ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết ."
sentiment,baseline,tfidf_char_svm,clean,full,test_178,neutral,positive,clean,0.0,,,tâm lý .,tâm lý .,tâm lý .
sentiment,baseline,tfidf_char_svm,clean,full,test_292,neutral,positive,clean,0.0,,,kỹ những chương cuối .,kỹ những chương cuối .,kỹ những chương cuối .
sentiment,baseline,tfidf_char_svm,clean,full,test_356,neutral,positive,clean,0.0,,,cả cuộc sống sau này lẫn trong môn học .,cả cuộc sống sau này lẫn trong môn học .,cả cuộc sống sau này lẫn trong môn học .
sentiment,baseline,tfidf_char_svm,clean,full,test_362,neutral,positive,clean,0.0,,,cô cho em 10 điểm thực hành colonlove .,cô cho em 10 điểm thực hành colonlove .,cô cho em 10 điểm thực hành colonlove .
sentiment,baseline,tfidf_char_svm,clean,full,test_439,neutral,negative,clean,0.0,,,đã có làm đơn với phòng đào tạo .,đã có làm đơn với phòng đào tạo .,đã có làm đơn với phòng đào tạo .
sentiment,baseline,tfidf_char_svm,clean,full,test_453,neutral,positive,clean,0.0,,,bài tập đầy đủ .,bài tập đầy đủ .,bài tập đầy đủ .
sentiment,baseline,tfidf_char_svm,clean,full,test_458,neutral,positive,clean,0.0,,,có cung cấp tài liệu cho sinh viên .,có cung cấp tài liệu cho sinh viên .,có cung cấp tài liệu cho sinh viên .
sentiment,baseline,tfidf_char_svm,clean,full,test_488,neutral,positive,clean,0.0,,,ngoài ra còn nhiều kiến thức ngoài .,ngoài ra còn nhiều kiến thức ngoài .,ngoài ra còn nhiều kiến thức ngoài .
sentiment,baseline,tfidf_char_svm,clean,full,test_511,neutral,positive,clean,0.0,,,có demo trực tiếp .,có demo trực tiếp .,có demo trực tiếp .
sentiment,baseline,tfidf_char_svm,clean,full,test_515,neutral,negative,clean,0.0,,,cụ thể doubledot về việc hướng dẫn bài tập về nội dung đó .,cụ thể doubledot về việc hướng dẫn bài tập về nội dung đó .,cụ thể doubledot về việc hướng dẫn bài tập về nội dung đó .
sentiment,baseline,tfidf_char_svm,clean,full,test_540,neutral,negative,clean,0.0,,,hơi nhanh nhưng em vẫn theo kịp được .,hơi nhanh nhưng em vẫn theo kịp được .,hơi nhanh nhưng em vẫn theo kịp được .
sentiment,baseline,tfidf_char_svm,clean,full,test_585,neutral,negative,clean,0.0,,,em nghĩ như vậy sẽ tốt hơn vì họ sẽ biết được khả năng của sinh viên trong lớp tới đâu để cho bài thực hành được phù hợp với trình độ của sinh viên .,em nghĩ như vậy sẽ tốt hơn vì họ sẽ biết được khả năng của sinh viên trong lớp tới đâu để cho bài thực hành được phù hợp với trình độ của sinh viên .,em nghĩ như vậy sẽ tốt hơn vì họ sẽ biết được khả năng của sinh viên trong lớp tới đâu để cho bài thực hành được phù hợp với trình độ của sinh viên .
sentiment,baseline,tfidf_char_svm,clean,full,test_642,neutral,negative,clean,0.0,,,khi chia nhóm em không học bên nhóm của thầy này và thầy cũng rất ít lên lớp nên em không có ý kiến gì .,khi chia nhóm em không học bên nhóm của thầy này và thầy cũng rất ít lên lớp nên em không có ý kiến gì .,khi chia nhóm em không học bên nhóm của thầy này và thầy cũng rất ít lên lớp nên em không có ý kiến gì .
sentiment,baseline,tfidf_char_svm,clean,full,test_690,neutral,positive,clean,0.0,,,tính thực tiễn của môn học .,tính thực tiễn của môn học .,tính thực tiễn của môn học .
sentiment,baseline,tfidf_char_svm,clean,full,test_699,neutral,negative,clean,0.0,,,đảm bảo cho sinh viên không ngủ gật .,đảm bảo cho sinh viên không ngủ gật .,đảm bảo cho sinh viên không ngủ gật .
sentiment,baseline,tfidf_char_svm,clean,full,test_731,neutral,negative,clean,0.0,,,chúng em đã nghỉ khoảng 4 tuần như thế .,chúng em đã nghỉ khoảng 4 tuần như thế .,chúng em đã nghỉ khoảng 4 tuần như thế .
sentiment,baseline,tfidf_char_svm,clean,full,test_737,neutral,negative,clean,0.0,,,có thời gian để ngủ trên lớp .,có thời gian để ngủ trên lớp .,có thời gian để ngủ trên lớp .
sentiment,baseline,tfidf_char_svm,clean,full,test_792,neutral,negative,clean,0.0,,,đây là những ví dụ nhập môn mà các em học sinh lớp 8 - 9 khi bắt đầu được học về quy hoạch động để đi thi học sinh giỏi .,đây là những ví dụ nhập môn mà các em học sinh lớp 8 - 9 khi bắt đầu được học về quy hoạch động để đi thi học sinh giỏi .,đây là những ví dụ nhập môn mà các em học sinh lớp 8 - 9 khi bắt đầu được học về quy hoạch động để đi thi học sinh giỏi .
sentiment,baseline,tfidf_char_svm,clean,full,test_805,neutral,negative,clean,0.0,,,"không có , chỉ là do em lười học nên không tiếp thu được .","không có , chỉ là do em lười học nên không tiếp thu được .","không có , chỉ là do em lười học nên không tiếp thu được ."
sentiment,baseline,tfidf_char_svm,clean,full,test_806,neutral,negative,clean,0.0,,,"thầy có vẻ hơi bận rộn , gặp thầy có vẻ khó .","thầy có vẻ hơi bận rộn , gặp thầy có vẻ khó .","thầy có vẻ hơi bận rộn , gặp thầy có vẻ khó ."
