task,true_label,model_type,model_name,noise_type,evaluation_scope,num_errors
sentiment,neutral,baseline,tfidf_word_svm,teencode_colloquial,full,119
sentiment,neutral,baseline,tfidf_word_svm,clean,full,118
sentiment,neutral,baseline,tfidf_word_svm,typo,full,117
sentiment,neutral,baseline,tfidf_word_svm,elongation,changed_only,116
sentiment,neutral,baseline,tfidf_word_svm,elongation,full,116
sentiment,neutral,baseline,tfidf_word_svm,domain_abbreviation,full,114
sentiment,neutral,baseline,tfidf_word_svm,mixed_noise,full,109
sentiment,neutral,baseline,tfidf_word_svm,typo,changed_only,106
sentiment,neutral,baseline,tfidf_word_svm,mixed_noise,changed_only,105
sentiment,neutral,baseline,tfidf_char_svm,typo,full,97
sentiment,neutral,baseline,tfidf_char_svm,clean,full,96
sentiment,neutral,baseline,tfidf_char_svm,teencode_colloquial,full,94
sentiment,neutral,baseline,tfidf_char_svm,domain_abbreviation,full,91
sentiment,neutral,baseline,tfidf_char_svm,elongation,changed_only,91
sentiment,neutral,baseline,tfidf_char_svm,elongation,full,91
sentiment,neutral,baseline,tfidf_char_svm,typo,changed_only,90
sentiment,neutral,baseline,tfidf_char_svm,mixed_noise,full,83
sentiment,neutral,phobert,phobert_base,elongation,changed_only,81
sentiment,neutral,phobert,phobert_base,elongation,full,81
sentiment,neutral,baseline,tfidf_char_svm,mixed_noise,changed_only,80
sentiment,neutral,baseline,tfidf_char_svm,no_accent,changed_only,79
sentiment,neutral,baseline,tfidf_char_svm,no_accent,full,79
sentiment,neutral,baseline,tfidf_word_svm,no_accent,changed_only,77
sentiment,neutral,baseline,tfidf_word_svm,no_accent,full,77
sentiment,neutral,phobert,phobert_base,typo,full,77
sentiment,neutral,phobert,phobert_base,teencode_colloquial,full,76
sentiment,neutral,phobert,phobert_base,clean,full,75
sentiment,neutral,phobert,phobert_base,mixed_noise,full,73
sentiment,neutral,phobert,phobert_base,domain_abbreviation,full,71
sentiment,neutral,phobert,phobert_base,mixed_noise,changed_only,71
sentiment,neutral,phobert,phobert_base,typo,changed_only,71
