task,model_type,model_name,model_path,noise_type,input_variant,evaluation_scope,num_eval_samples,accuracy,macro_f1,weighted_f1
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,domain_abbreviation,noisy,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,domain_abbreviation,normalized,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,domain_abbreviation,noisy,changed_only,1530,0.46601307189542485,0.21191856145043841,0.2962704594395345
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,domain_abbreviation,normalized,changed_only,1530,0.46601307189542485,0.21191856145043841,0.2962704594395345
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,elongation,noisy,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,elongation,normalized,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,elongation,noisy,changed_only,3164,0.5022123893805309,0.2228767795778105,0.3357944400276304
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,elongation,normalized,changed_only,3164,0.5022123893805309,0.2228767795778105,0.3357944400276304
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,mixed_noise,noisy,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,mixed_noise,normalized,full,3166,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,baseline,majority_class,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib,mixed_noise,noisy,changed_only,3135,0.5023923444976076,0.22292993630573246,0.33599488007801787
