task,model_type,model_name,noise_type,evaluation_scope,noisy_macro_f1,normalized_macro_f1,macro_f1_improvement,noisy_accuracy,normalized_accuracy,accuracy_improvement,num_eval_samples
sentiment,baseline,majority_class,domain_abbreviation,full,0.22287636669470143,0.22287636669470143,0.0,0.5022109917877448,0.5022109917877448,0.0,3166
sentiment,baseline,majority_class,domain_abbreviation,changed_only,0.21191856145043841,0.21191856145043841,0.0,0.46601307189542485,0.46601307189542485,0.0,1530
sentiment,baseline,majority_class,elongation,full,0.22287636669470143,0.22287636669470143,0.0,0.5022109917877448,0.5022109917877448,0.0,3166
sentiment,baseline,majority_class,elongation,changed_only,0.2228767795778105,0.2228767795778105,0.0,0.5022123893805309,0.5022123893805309,0.0,3164
sentiment,baseline,majority_class,mixed_noise,full,0.22287636669470143,0.22287636669470143,0.0,0.5022109917877448,0.5022109917877448,0.0,3166
sentiment,baseline,majority_class,mixed_noise,changed_only,0.22292993630573246,0.22292993630573246,0.0,0.5023923444976076,0.5023923444976076,0.0,3135
sentiment,baseline,majority_class,no_accent,full,0.22287636669470143,0.22287636669470143,0.0,0.5022109917877448,0.5022109917877448,0.0,3166
sentiment,baseline,majority_class,no_accent,changed_only,0.22287719298245615,0.22287719298245615,0.0,0.502213788741303,0.502213788741303,0.0,3162
sentiment,baseline,majority_class,teencode_colloquial,full,0.22287636669470143,0.22287636669470143,0.0,0.5022109917877448,0.5022109917877448,0.0,3166
sentiment,baseline,majority_class,teencode_colloquial,changed_only,0.20966785290628706,0.20966785290628706,0.0,0.4587929915639195,0.4587929915639195,0.0,1541
sentiment,baseline,majority_class,typo,full,0.22287636669470143,0.22287636669470143,0.0,0.5022109917877448,0.5022109917877448,0.0,3166
sentiment,baseline,majority_class,typo,changed_only,0.2227997978485308,0.2227997978485308,0.0,0.5019518542615484,0.5019518542615484,0.0,3074
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,0.7397138643941713,0.7356297774005774,-0.004084086993593861,0.8749210360075805,0.873973468098547,-0.0009475679090334976,3166
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,0.7270855869271702,0.7120290090072904,-0.015056577919879799,0.8915032679738563,0.8895424836601307,-0.0019607843137255943,1530
sentiment,baseline,tfidf_char_svm,elongation,full,0.7432055881774954,0.7353507893242824,-0.007854798853212941,0.8774478837650032,0.873973468098547,-0.003474415666456121,3166
sentiment,baseline,tfidf_char_svm,elongation,changed_only,0.7421125734448296,0.7341950442482772,-0.00791752919655242,0.877370417193426,0.8738938053097345,-0.003476611883691527,3164
sentiment,baseline,tfidf_char_svm,mixed_noise,full,0.7076236771647809,0.7317437357456643,0.024120058580883397,0.8376500315855969,0.8692356285533797,0.031585596967782736,3166
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,0.706695962232737,0.7309352155108183,0.024239253278081296,0.8382775119617225,0.8701754385964913,0.03189792663476876,3135
sentiment,baseline,tfidf_char_svm,no_accent,full,0.4050247166001313,0.532538648901574,0.1275139323014427,0.46178142766898295,0.6443461781427668,0.1825647504737839,3166
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,0.40467787719089143,0.5320831071041056,0.12740522991321412,0.46173308032890575,0.6445287792536369,0.1827956989247312,3162
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,0.7034531007426046,0.7353507893242824,0.03189768858167785,0.8404927353126974,0.873973468098547,0.03348073278584962,3166
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,0.635249206072195,0.6929559645944464,0.05770675852225138,0.8040233614536015,0.872809863724854,0.06878650227125249,1541
sentiment,baseline,tfidf_char_svm,typo,full,0.706523334207615,0.7144994600063334,0.007976125798718314,0.848389134554643,0.8578648136449779,0.009475679090334865,3166
sentiment,baseline,tfidf_char_svm,typo,changed_only,0.6973854769501378,0.705398663211791,0.00801318626165326,0.8484059856864021,0.8581652569941445,0.009759271307742345,3074
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,0.7375839798545446,0.7292365992216441,-0.008347380632900525,0.8929248262792167,0.8919772583701832,-0.0009475679090334976,3166
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,0.7214368858989979,0.693859903923613,-0.02757698197538494,0.9071895424836601,0.9052287581699346,-0.0019607843137254832,1530
sentiment,baseline,tfidf_word_svm,elongation,full,0.7136063492284052,0.7289041804941077,0.0152978312657025,0.8733417561591914,0.8919772583701832,0.01863550221099175,3166
sentiment,baseline,tfidf_word_svm,elongation,changed_only,0.7121051952077728,0.7273206543211548,0.015215459113381957,0.8732616940581542,0.8919089759797725,0.01864728192161824,3164
sentiment,baseline,tfidf_word_svm,mixed_noise,full,0.6949618565972898,0.7243667891823958,0.029404932585106014,0.8452305748578648,0.8872394188250158,0.04200884396715099,3166
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,0.6944914158152314,0.7241131639968561,0.029621748181624663,0.845933014354067,0.8883572567783095,0.042424242424242475,3135
sentiment,baseline,tfidf_word_svm,no_accent,full,0.35968493832539833,0.5505132945806179,0.1908283562552196,0.4068224889450411,0.6686670878079596,0.2618445988629185,3166
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,0.35925893634967543,0.5500182561797846,0.1907593198301092,0.40670461733080326,0.6688804554079696,0.2621758380771663,3162
sentiment,baseline,tfidf_word_svm,teencode_colloquial,full,0.7003810711767603,0.7289041804941077,0.02852310931734736,0.8632343651295009,0.8919772583701832,0.028742893240682243,3166
sentiment,baseline,tfidf_word_svm,teencode_colloquial,changed_only,0.6614037973945095,0.7223170728766516,0.06091327548214209,0.8423101881894873,0.9013627514600908,0.059052563270603486,1541
