task,model_type,model_name,noise_type,evaluation_scope,subword_inflation_bin,num_samples,num_errors,accuracy,mean_subword_delta,mean_changed_token_ratio,error_rate
sentiment,baseline,majority_class,domain_abbreviation,changed_only,<0.95,159,129,0.18867924528301888,-1.10062893081761,0.24537329090978907,0.8113207547169812
sentiment,baseline,majority_class,domain_abbreviation,changed_only,0.95-1.00,1371,688,0.49817651349380015,-0.06856309263311451,0.17990070966663912,0.5018234865061999
sentiment,baseline,majority_class,domain_abbreviation,full,<0.95,159,129,0.18867924528301888,-1.10062893081761,0.24537329090978907,0.8113207547169812
sentiment,baseline,majority_class,domain_abbreviation,full,0.95-1.00,3007,1447,0.5187894911872298,-0.03126039241769205,0.08202323676520194,0.48121050881277017
sentiment,baseline,majority_class,elongation,changed_only,0.95-1.00,3,2,0.3333333333333333,0.0,0.0681964573268921,0.6666666666666667
sentiment,baseline,majority_class,elongation,changed_only,1.00-1.05,173,141,0.18497109826589594,1.4971098265895955,0.030249054721375367,0.815028901734104
sentiment,baseline,majority_class,elongation,changed_only,1.05-1.15,1164,665,0.42869415807560135,1.8565292096219932,0.062047424151203706,0.5713058419243986
sentiment,baseline,majority_class,elongation,changed_only,1.15-1.30,1150,502,0.5634782608695652,2.210434782608696,0.10616817465225728,0.4365217391304348
sentiment,baseline,majority_class,elongation,changed_only,>1.30,674,265,0.6068249258160238,2.6409495548961424,0.18211397076382235,0.39317507418397624
sentiment,baseline,majority_class,elongation,full,0.95-1.00,5,3,0.4,0.0,0.04091787439613526,0.6
sentiment,baseline,majority_class,elongation,full,1.00-1.05,173,141,0.18497109826589594,1.4971098265895955,0.030249054721375367,0.815028901734104
sentiment,baseline,majority_class,elongation,full,1.05-1.15,1164,665,0.42869415807560135,1.8565292096219932,0.062047424151203706,0.5713058419243986
sentiment,baseline,majority_class,elongation,full,1.15-1.30,1150,502,0.5634782608695652,2.210434782608696,0.10616817465225728,0.4365217391304348
sentiment,baseline,majority_class,elongation,full,>1.30,674,265,0.6068249258160238,2.6409495548961424,0.18211397076382235,0.39317507418397624
sentiment,baseline,majority_class,mixed_noise,changed_only,<0.95,27,24,0.1111111111111111,-1.0,0.30673043050924026,0.8888888888888888
sentiment,baseline,majority_class,mixed_noise,changed_only,0.95-1.00,717,356,0.5034867503486751,-0.016736401673640166,0.21000431560675348,0.49651324965132493
sentiment,baseline,majority_class,mixed_noise,changed_only,1.00-1.05,245,185,0.24489795918367346,1.1183673469387756,0.1092325191071299,0.7551020408163265
sentiment,baseline,majority_class,mixed_noise,changed_only,1.05-1.15,1073,539,0.4976700838769804,1.505125815470643,0.18824386563483422,0.5023299161230196
sentiment,baseline,majority_class,mixed_noise,changed_only,1.15-1.30,705,304,0.5687943262411348,2.1333333333333333,0.23396417370093703,0.4312056737588652
sentiment,baseline,majority_class,mixed_noise,changed_only,>1.30,368,152,0.5869565217391305,2.6847826086956523,0.29544514965710617,0.4130434782608695
