task,model_type,model_name,noise_type,evaluation_scope,num_samples,num_errors,accuracy,mean_changed_token_ratio,error_rate
sentiment,baseline,majority_class,clean,full,3166,1576,0.5022109917877448,0.0,0.49778900821225525
sentiment,baseline,majority_class,domain_abbreviation,changed_only,1530,817,0.46601307189542485,0.18670472301151547,0.5339869281045752
sentiment,baseline,majority_class,domain_abbreviation,full,3166,1576,0.5022109917877448,0.09022685603525542,0.49778900821225525
sentiment,baseline,majority_class,elongation,changed_only,3164,1575,0.5022123893805309,0.10192765319080022,0.4977876106194691
sentiment,baseline,majority_class,elongation,full,3166,1576,0.5022109917877448,0.10186326427532909,0.49778900821225525
sentiment,baseline,majority_class,mixed_noise,changed_only,3135,1560,0.5023923444976076,0.21093174113371335,0.4976076555023924
sentiment,baseline,majority_class,mixed_noise,full,3166,1576,0.5022109917877448,0.2088663955951331,0.49778900821225525
sentiment,baseline,majority_class,no_accent,changed_only,3162,1574,0.502213788741303,0.7592230860280245,0.49778621125869704
sentiment,baseline,majority_class,no_accent,full,3166,1576,0.5022109917877448,0.7582638654518677,0.49778900821225525
sentiment,baseline,majority_class,teencode_colloquial,changed_only,1541,834,0.4587929915639195,0.09938137771260105,0.5412070084360805
sentiment,baseline,majority_class,teencode_colloquial,full,3166,1576,0.5022109917877448,0.048372300396436585,0.49778900821225525
sentiment,baseline,majority_class,typo,changed_only,3074,1531,0.5019518542615484,0.09844608489585625,0.4980481457384516
sentiment,baseline,majority_class,typo,full,3166,1576,0.5022109917877448,0.09558536480412576,0.49778900821225525
sentiment,baseline,tfidf_char_svm,clean,full,3166,399,0.873973468098547,0.0,0.12602653190145297
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,1530,166,0.8915032679738563,0.18670472301151547,0.10849673202614374
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,3166,396,0.8749210360075805,0.09022685603525542,0.12507896399241947
sentiment,baseline,tfidf_char_svm,elongation,changed_only,3164,388,0.877370417193426,0.10192765319080022,0.12262958280657399
sentiment,baseline,tfidf_char_svm,elongation,full,3166,388,0.8774478837650032,0.10186326427532909,0.12255211623499684
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,3135,507,0.8382775119617225,0.21093174113371335,0.1617224880382775
sentiment,baseline,tfidf_char_svm,mixed_noise,full,3166,514,0.8376500315855969,0.2088663955951331,0.16234996841440308
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,3162,1702,0.46173308032890575,0.7592230860280245,0.5382669196710943
sentiment,baseline,tfidf_char_svm,no_accent,full,3166,1704,0.46178142766898295,0.7582638654518677,0.5382185723310171
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,1541,302,0.8040233614536015,0.09938137771260105,0.19597663854639846
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,3166,505,0.8404927353126974,0.048372300396436585,0.15950726468730259
sentiment,baseline,tfidf_char_svm,typo,changed_only,3074,466,0.8484059856864021,0.09844608489585625,0.15159401431359787
sentiment,baseline,tfidf_char_svm,typo,full,3166,480,0.848389134554643,0.09558536480412576,0.15161086544535696
sentiment,baseline,tfidf_word_svm,clean,full,3166,342,0.8919772583701832,0.0,0.10802274162981684
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,1530,142,0.9071895424836601,0.18670472301151547,0.09281045751633987
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,3166,339,0.8929248262792167,0.09022685603525542,0.10707517372078335
sentiment,baseline,tfidf_word_svm,elongation,changed_only,3164,401,0.8732616940581542,0.10192765319080022,0.12673830594184576
sentiment,baseline,tfidf_word_svm,elongation,full,3166,401,0.8733417561591914,0.10186326427532909,0.1266582438408086
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,3135,483,0.845933014354067,0.21093174113371335,0.15406698564593302
