task,model_type,model_name,noise_type,evaluation_scope,id,true_label,pred_label,severity,changed_token_ratio,subword_delta,subword_inflation_ratio,original_text,noisy_text,text
topic,baseline,tfidf_char_svm,elongation,full,test_1588,others,training_program,medium,0.3333333333333333,4.0,2.333333333333333,quá nhiều .,quá nhiềuuu .,quá nhiềuuu .
topic,baseline,tfidf_char_svm,elongation,changed_only,test_1588,others,training_program,medium,0.3333333333333333,4.0,2.333333333333333,quá nhiều .,quá nhiềuuu .,quá nhiềuuu .
topic,baseline,tfidf_word_svm,elongation,full,test_1588,others,training_program,medium,0.3333333333333333,4.0,2.333333333333333,quá nhiều .,quá nhiềuuu .,quá nhiềuuu .
topic,baseline,tfidf_word_svm,elongation,changed_only,test_1588,others,training_program,medium,0.3333333333333333,4.0,2.333333333333333,quá nhiều .,quá nhiềuuu .,quá nhiềuuu .
sentiment,baseline,tfidf_char_svm,mixed_noise,full,test_1431,negative,positive,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,test_1431,negative,positive,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
sentiment,baseline,tfidf_word_svm,mixed_noise,full,test_1431,negative,neutral,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,test_1431,negative,neutral,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
topic,baseline,tfidf_char_svm,mixed_noise,full,test_1431,training_program,others,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
topic,baseline,tfidf_char_svm,mixed_noise,changed_only,test_1431,training_program,others,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
topic,baseline,tfidf_word_svm,mixed_noise,full,test_1431,training_program,others,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
topic,baseline,tfidf_word_svm,mixed_noise,changed_only,test_1431,training_program,others,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
sentiment,phobert,phobert_base,mixed_noise,full,test_1431,negative,neutral,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
sentiment,phobert,phobert_base,mixed_noise,changed_only,test_1431,negative,neutral,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
topic,phobert,phobert_base,mixed_noise,full,test_1431,training_program,lecturer,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
topic,phobert,phobert_base,mixed_noise,changed_only,test_1431,training_program,lecturer,high,0.75,4.0,2.0,bài tập nhiều .,bt nhìuuu .,bt nhìuuu .
