task,model_type,model_name,noise_type,evaluation_scope,true_label,pred_label,num_errors
sentiment,baseline,majority_class,clean,full,negative,positive,1409
sentiment,baseline,majority_class,clean,full,neutral,positive,167
sentiment,baseline,majority_class,domain_abbreviation,full,negative,positive,1409
sentiment,baseline,majority_class,domain_abbreviation,changed_only,negative,positive,761
sentiment,baseline,majority_class,domain_abbreviation,full,neutral,positive,167
sentiment,baseline,majority_class,domain_abbreviation,changed_only,neutral,positive,56
sentiment,baseline,majority_class,elongation,changed_only,negative,positive,1409
sentiment,baseline,majority_class,elongation,full,negative,positive,1409
sentiment,baseline,majority_class,elongation,full,neutral,positive,167
sentiment,baseline,majority_class,elongation,changed_only,neutral,positive,166
sentiment,baseline,majority_class,mixed_noise,full,negative,positive,1409
sentiment,baseline,majority_class,mixed_noise,changed_only,negative,positive,1399
sentiment,baseline,majority_class,mixed_noise,full,neutral,positive,167
sentiment,baseline,majority_class,mixed_noise,changed_only,neutral,positive,161
sentiment,baseline,majority_class,no_accent,full,negative,positive,1409
sentiment,baseline,majority_class,no_accent,changed_only,negative,positive,1408
sentiment,baseline,majority_class,no_accent,full,neutral,positive,167
sentiment,baseline,majority_class,no_accent,changed_only,neutral,positive,166
sentiment,baseline,majority_class,teencode_colloquial,full,negative,positive,1409
sentiment,baseline,majority_class,teencode_colloquial,changed_only,negative,positive,780
sentiment,baseline,majority_class,teencode_colloquial,full,neutral,positive,167
sentiment,baseline,majority_class,teencode_colloquial,changed_only,neutral,positive,54
sentiment,baseline,majority_class,typo,full,negative,positive,1409
sentiment,baseline,majority_class,typo,changed_only,negative,positive,1382
sentiment,baseline,majority_class,typo,full,neutral,positive,167
sentiment,baseline,majority_class,typo,changed_only,neutral,positive,149
sentiment,phobert,phobert_base,clean,full,positive,negative,50
sentiment,phobert,phobert_base,clean,full,neutral,positive,47
sentiment,phobert,phobert_base,clean,full,negative,positive,35
sentiment,phobert,phobert_base,clean,full,negative,neutral,30
sentiment,phobert,phobert_base,clean,full,neutral,negative,28
sentiment,phobert,phobert_base,clean,full,positive,neutral,24
sentiment,phobert,phobert_base,domain_abbreviation,full,positive,negative,54
sentiment,phobert,phobert_base,domain_abbreviation,full,neutral,positive,44
sentiment,phobert,phobert_base,domain_abbreviation,full,negative,positive,37
sentiment,phobert,phobert_base,domain_abbreviation,full,negative,neutral,34
sentiment,phobert,phobert_base,domain_abbreviation,full,positive,neutral,32
sentiment,phobert,phobert_base,domain_abbreviation,changed_only,positive,negative,29
sentiment,phobert,phobert_base,domain_abbreviation,full,neutral,negative,27
sentiment,phobert,phobert_base,domain_abbreviation,changed_only,negative,positive,22
sentiment,phobert,phobert_base,domain_abbreviation,changed_only,positive,neutral,17
sentiment,phobert,phobert_base,domain_abbreviation,changed_only,neutral,positive,16
sentiment,phobert,phobert_base,domain_abbreviation,changed_only,negative,neutral,14
sentiment,phobert,phobert_base,domain_abbreviation,changed_only,neutral,negative,5
sentiment,phobert,phobert_base,elongation,changed_only,positive,negative,56
sentiment,phobert,phobert_base,elongation,full,positive,negative,56
sentiment,phobert,phobert_base,elongation,changed_only,neutral,positive,45
sentiment,phobert,phobert_base,elongation,full,neutral,positive,45
sentiment,phobert,phobert_base,elongation,changed_only,negative,positive,43
sentiment,phobert,phobert_base,elongation,full,negative,positive,43
sentiment,phobert,phobert_base,elongation,changed_only,negative,neutral,42
sentiment,phobert,phobert_base,elongation,full,negative,neutral,42
sentiment,phobert,phobert_base,elongation,changed_only,positive,neutral,37
sentiment,phobert,phobert_base,elongation,full,positive,neutral,37
sentiment,phobert,phobert_base,elongation,changed_only,neutral,negative,36
sentiment,phobert,phobert_base,elongation,full,neutral,negative,36
sentiment,phobert,phobert_base,mixed_noise,full,positive,negative,73
sentiment,phobert,phobert_base,mixed_noise,changed_only,positive,negative,72
sentiment,phobert,phobert_base,mixed_noise,full,positive,neutral,70
sentiment,phobert,phobert_base,mixed_noise,changed_only,positive,neutral,69
sentiment,phobert,phobert_base,mixed_noise,changed_only,negative,neutral,66
sentiment,phobert,phobert_base,mixed_noise,full,negative,neutral,66
sentiment,phobert,phobert_base,mixed_noise,changed_only,negative,positive,61
sentiment,phobert,phobert_base,mixed_noise,full,negative,positive,61
sentiment,phobert,phobert_base,mixed_noise,full,neutral,positive,41
sentiment,phobert,phobert_base,mixed_noise,changed_only,neutral,positive,40
sentiment,phobert,phobert_base,mixed_noise,full,neutral,negative,32
sentiment,phobert,phobert_base,mixed_noise,changed_only,neutral,negative,31
sentiment,phobert,phobert_base,no_accent,full,negative,neutral,795
sentiment,phobert,phobert_base,no_accent,changed_only,negative,neutral,794
sentiment,phobert,phobert_base,no_accent,full,positive,neutral,665
sentiment,phobert,phobert_base,no_accent,changed_only,positive,neutral,664
sentiment,phobert,phobert_base,no_accent,changed_only,negative,positive,400
sentiment,phobert,phobert_base,no_accent,full,negative,positive,400
sentiment,phobert,phobert_base,no_accent,changed_only,positive,negative,125
sentiment,phobert,phobert_base,no_accent,full,positive,negative,125
sentiment,phobert,phobert_base,no_accent,changed_only,neutral,positive,31
sentiment,phobert,phobert_base,no_accent,full,neutral,positive,31
sentiment,phobert,phobert_base,no_accent,changed_only,neutral,negative,14
sentiment,phobert,phobert_base,no_accent,full,neutral,negative,14
sentiment,phobert,phobert_base,teencode_colloquial,full,positive,negative,58
sentiment,phobert,phobert_base,teencode_colloquial,full,negative,neutral,47
sentiment,phobert,phobert_base,teencode_colloquial,full,neutral,positive,46
