id,noise_type,original_text,noisy_text,normalized_text,sentiment_label,topic_label,normalization_changed,num_normalization_replacements,normalization_spans
test_1,domain_abbreviation,giáo viên rất vui tính .,gv rất vui tính .,giảng viên rất vui tính .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_4,domain_abbreviation,"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .","gv không giảng dạy kiến thức , hướng dẫn th trong quá trình học .","giảng viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",negative,lecturer,True,2,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}, {""rule"": ""domain_abbreviation"", ""source"": ""th"", ""target"": ""thực hành"", ""start_char"": 49, ""end_char"": 51, ""matched_text"": ""th""}]"
test_7,domain_abbreviation,thầy nhiệt tình giảng lại cho học sinh .,thầy nhiệt tình giảng lại cho hs .,thầy nhiệt tình giảng lại cho học sinh .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""hs"", ""target"": ""học sinh"", ""start_char"": 30, ""end_char"": 32, ""matched_text"": ""hs""}]"
test_8,domain_abbreviation,có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,có đôi lúc nói hơi nhanh làm sv không theo kịp .,có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,negative,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 29, ""end_char"": 31, ""matched_text"": ""sv""}]"
test_9,domain_abbreviation,"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .","giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sv tương đối tốt .","giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 65, ""end_char"": 67, ""matched_text"": ""sv""}]"
test_10,domain_abbreviation,giảng viên nhiệt tình trong công tác giảng dạy .,gv nhiệt tình trong công tác giảng dạy .,giảng viên nhiệt tình trong công tác giảng dạy .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_13,domain_abbreviation,sinh viên không tiếp thu kịp cũng như không hiểu gì .,sv không tiếp thu kịp cũng như không hiểu gì .,sinh viên không tiếp thu kịp cũng như không hiểu gì .,negative,training_program,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""sv""}]"
test_14,domain_abbreviation,thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,thầy nhiệt tình giúp đỡ sv trong quá trình th .,thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,positive,lecturer,True,2,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 24, ""end_char"": 26, ""matched_text"": ""sv""}, {""rule"": ""domain_abbreviation"", ""source"": ""th"", ""target"": ""thực hành"", ""start_char"": 50, ""end_char"": 52, ""matched_text"": ""th""}]"
test_15,domain_abbreviation,thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,thầy rất tận tình và giúp đỡ sv rất nhiều .,thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 29, ""end_char"": 31, ""matched_text"": ""sv""}]"
test_16,domain_abbreviation,giảng viên giải thích kỹ và chi tiết .,gv giải thích kỹ và chi tiết .,giảng viên giải thích kỹ và chi tiết .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
